ID,Type,Scenario,Sentence,Options,Correct,PHD_Feedback
29,Exat (➡️),Trasporto,"— Вы куда? — Мы {{1}} на вокзал встречать Анну.",едем / ездим,едем,Meta ➡️.
30,Exat (➡️),Trasporto,"Тимур и Женя {{1}} на конференцию в Питер.",едут / ездят,едут,Evento puntuale ➡️.
31,Ezdit (↔️),Conjugation,"Я часто {{1}} в Рим на поезде.",езжу / еду,езжу,Forma 1ps.
32,Ezdit (↔️),Conjugation,"Ты часто {{1}} на велосипеде?",ездишь / едешь,ездишь,Forma 2ps.
33,Ezdit (↔️),Conjugation,"Лена {{1}} на работу на метро.",ездит / едет,ездит,Forma 3ps.
34,Ezdit (↔️),Conjugation,"Тимур {{1}} в библиотеку на самокате.",ездит / едет,ездит,Forma 3ps.
35,Ezdit (↔️),Conjugation,"Мы {{1}} в отпуск каждое лето.",ездим / едем,ездим,Forma 1pp.
36,Ezdit (↔️),Conjugation,"Вы {{1}} на такси или на автобусе?",ездите / едете,ездите,Forma 2pp.
37,Ezdit (↔️),Conjugation,"Студенты {{1}} на лекции на трамвае.",ездят / едут,ездят,Forma 3pp.
38,Ezdit (↔️),Conjugation,"Андрей и Дима часто {{1}} за город.",ездят / едут,ездят,Forma 3pp.
39,Ezdit (↔️),Conjugation,"Мои друзья {{1}} на скоростных машинах.",ездят / едут,ездят,Forma 3pp.
40,Ezdit (↔️),Conjugation,"Почему ты никогда не {{1}} на трамвае?",ездишь / едешь,ездишь,Forma 2ps.
41,Exat (➡️),Conjugation,"Я сейчас {{1}} в банк.",еду / езжу,еду,Forma 1ps.
42,Exat (➡️),Conjugation,"Куда ты {{1}} так поздно?",едешь / ездишь,едешь,Forma 2ps.
43,Exat (➡️),Conjugation,"Тимур {{1}} на презентацию своего проекта.",едет / ездит,едет,Forma 3ps.
44,Exat (➡️),Conjugation,"Лена {{1}} в Prada на новой машине.",едет / ездит,едет,Forma 3ps.
45,Exat (➡️),Conjugation,"Мы {{1}} в аэропорт на такси.",едем / ездим,едем,Forma 1pp.
46,Exat (➡️),Conjugation,"Вы {{1}} с нами в Питер?",едете / ездите,едете,Forma 2pp.
47,Exat (➡️),Conjugation,"Студенты {{1}} на вокзал.",едут / ездят,едут,Forma 3pp.
48,Exat (➡️),Conjugation,"Андрей и Дима сейчас {{1}} в центр.",едут / ездят,едут,Forma 3pp.
49,Exat (➡️),Conjugation,"Машина быстро {{1}} по шоссе.",едет / ездит,едет,Forma 3ps.
50,Exat (➡️),Conjugation,"Куда вы {{1}} в это воскресенье?",едете / ездите,едете,Forma 2pp.
