ID,Персонаж,Стрелка,Задание,Варианты,Ответ
58,Лена,↔️,Лена ________ на чистку лица каждый месяц.,ходит / идет,ходит
59,Анна,↔️,"Анна ________ к одному и тому же фермеру за сыром с тех пор, как приехала.",ходит / идет,ходит
60,Лена,↔️,Лена ________ красится каждый раз когда ей грустно.,ходит / идет,ходит
61,Generic,↔️,— Как часто вы ________ в бассейн? — Мы ________ туда по утрам.,ходите / ходим,ходите / ходим
62,Студенты,↔️,"Студенты обычно ________ на обед в столовую, но сегодня она закрыта и они ________ в бар напротив.",ходят / идут,ходят / идут
63,Андрей,↔️,"Андрей признался: «Я ________ в аптеку за витаминами, но забываю их пить».",хожу / иду,хожу
64,Generic,↔️,"— Твои часы снова стоят? — Да, они не ________.",ходят / идут,ходят
65,Катя,↔️,"Катя считает, что люди зря ________ по торговым центрам в выходные.",ходят / идут,ходят
66,Generic,➡️,Они ________ домой за зарядкой.,идет / ходит,идут
67,Generic,➡️,Мы ________ на презентацию книги профессора Тимура.,идем / ходим,идем
68,Женя,➡️,"Вот Женя ________, опять в новом костюме.",идет / ходит,идет
69,Тимур,➡️,"Тимур ________ в больницу, гипс пора снимать.",иду / хожу,идет
70,Generic,➡️,"Из-за ремонта дороги автобуса нет, мы ________ пешком.",идет / ходит,идем
71,Андрей и Тимур,➡️,"— Чего ты встал? Мы ________ в банк или нет? — Тимур прости, я забыл квитанцию.",иду / хожу,идем
72,Generic,➡️,"Второй день дождь ________, из дома не выйти.",идет / ходит,идет
73,Лиза,➡️,"— Лиза, ты куда ________? — ________ за зонтиком для Андрея.",идешь / иду,идешь / иду
74,Катя,➡️,Катя сегодня ________ в библиотеку за мемуарами неизвестного гения.,идет / ходит,идет
75,Generic,➡️,"Мы ________ в ресторан «Рыбный рынок», сегодня там скидка.",идем / ходим,идем
76,Generic,➡️,"— Вы ________ на концерт New Age сегодня? — Нет, Катя против.",идете / ходите,идете
77,Аня,➡️,"Аня, тебе так ________ это платье!",пойдет / идет,идет
78,Generic,➡️,"Сегодня открытие новой выставки, мы ________ туда.",идут / ходят,идем
79,Андрей,➡️,"Андрей, не спи! Время ________, а мы еще не в банке!",идет / ходит,идет
80,Тимур,➡️,"Экзамен уже ________, а Тимур только-только заходит в здание.",идет / ходит,идет
81,Тимур,↔️,"Тимур очень ответственный, он ________ на все лекции без исключений.",ходит / идет,ходит
82,Тимур,➡️,"— Тимур, ты куда ________? — К профессору, нужно сдать работу.",идешь / ходишь,идешь
83,Андрей,↔️,"Андрей — консерватор, он ________ в банк за наличными, потому что боится технологий.",ходит / идет,ходит
84,Андрей,➡️,"Андрей ________ в банк, но по дороге вспоминает, что забыл квитанцию.",идет / ходит,идет
85,Катя,↔️,"Катя — эстет, она ________ только в те рестораны, где есть белые скатерти.",ходит / идет,ходит
86,Катя,➡️,Сегодня Катя ________ на вернисаж в своем новом черном платье.,идет / ходит,идет
87,Женя,↔️,"Женя ________ в барбершоп два раза в месяц, стиль требует жертв.",ходит / идет,ходит
88,Женя,➡️,"Смотри, вон Женя ________! Какой у него сегодня элегантный костюм.",идет / ходит,идет
89,Лена,↔️,Лена ________ в торговый центр за новыми гаджетами каждую субботу.,ходит / идет,ходит
90,Лена,➡️,"Лена ________ к отделу электроники, она мечтает о новом планшете.",идет / ходит,идет
91,Анна,↔️,Анна ________ на рынок к одному и тому же фермеру уже много лет.,ходит / идет,ходит
92,Анна,➡️,"Анна ________ по улице и улыбается прохожим, сегодня чудесный день.",идет / ходит,идет
93,Generic,➡️,"Дождь ________ уже три часа, и Тимур решил остаться дома.",идет / ходит,идет
94,Generic,➡️,"Смотри, время ________, нам пора пить кофе!",идет / ходит,идет
95,Generic,➡️,В кинотеатре сейчас ________ очень интересный фильм про жизнь в России.,идет / ходит,идет
96,Generic,↔️,"Эти старые часы уже не ________, им нужен ремонт.",ходят / идут,ходят
97,Generic,↔️,Студенты всегда ________ на обед в бар напротив университета.,ходят / идут,ходят
98,Андрей,➡️,"— Андрей, ты где? — Я ________ домой, попал под сильный дождь.",иду / хожу,иду
99,Тимур,➡️,"Смотрите, Тимур ________ без костылей! Гипс наконец-то сняли.",идет / ходит,идет
100,Катя,↔️,"Катя никогда не ________ на шумные вечеринки, это не её уровень.",ходит / идет,ходит
